iata_code,icao_code,airport_name,alt_name,other_codes
KCH,WBGG,Kuching International Airport,,
KJB,VOKU,Kurnool Airport,,
KTL,HKKT,Kitale Airport,,
BNA,KBNA,Nashville International Airport,,
TEU,NZMO,Te Anau Airport,Manapouri Airport,
KWE,ZUGY,Guiyang Longdongbao International Airport,,
LXS,LGLM,Lemnos International Airport,,
LPP,EFLP,Lappeenranta Airport,,
VRA,MUVR,Juan Gualberto Gómez Airport,,
HAC,RJTH,Hachijojima Airport,,
TGZ,MMTG,Ángel Albino Corzo International Airport,,
ASN,KASN,Talladega Municipal Airport,,
NHX,KNBJ,NOLF Barin,,FAA: NBJ
AIU,NCAT,Enua Airport,,
JRS,OJJR,Atarot Airport,Jerusalem International Airport,
VDI,KVDI,Vidalia Regional Airport,,
LOX,,Los Tablones Airport,,
EGX,PAII,Egegik Airport,,FAA: EII
RVV,NTAV,Raivavae Airport,,
MQV,,Mostaganem Airport,,
PKH,LGHL,Porto Cheli Airport,,
OVB,UNNT,Tolmachevo Airport,,
MEJ,KGKJ,Port Meadville Airport,,FAA: GKJ
GKO,,Kongo Boumba Airport,,
YBK,CYBK,Baker Lake Airport,,
PIP,PAPN,Pilot Point Airport,,FAA: PNP
CUH,KCUH,Cushing Municipal Airport,,
AYM,,Yas Island Seaplane Base,,
BCN,LEBL,Barcelona–El Prat Airport,,
PIV,SNPX,Pirapora Airport,,
SDB,FALW,Air Force Base Langebaanweg,,
PMW,SBPJ,Palmas–Brigadeiro Lysias Rodrigues Airport,,
ZGU,NVSQ,Gaua Airport,,
HYF,,Hayfields Airport,,
COZ,MDCZ,Constanza Airport,,
USR,UEMT,Ust-Nera Airport,,
HVE,KHVE,Hanksville Airport,,
GSL,,Taltheilei Narrows Airport,,TC: CFA7
LTP,YLHS,Lyndhurst Airport,,
ZIG,GOGG,Ziguinchor Airport,,
RMB,OOBR,Buraimi Airport,,
YRB,CYRB,Resolute Bay Airport,,
FUO,ZGFS,Foshan Shadi Airport,,
UAR,GMFB,Bouarfa Airport,,
XPP,CZNG,Poplar River Airport,,
MCS,SARM,Monte Caseros Airport,,
DOK,UKCC,Donetsk International Airport,,
LOI,SSLN,Helmuth Baungartem Airport,,
LSC,SCSE,La Florida Airport,,
MOL,ENML,"Molde Airport, Årø",,
KMK,FCPA,Makabana Airport,,
CAQ,SKCU,Juan H. White Airport,,
SZE,HASM,Semera Airport,,
CXO,KCXO,Lone Star Executive Airport,,
RDO,EPRA,Radom Airport,,
